file,time,cpu,memory
fork,0.000s,0.0%,3 MB
fork,0.050s,0.0%,12 MB
fork,0.100s,0.0%,33 MB
fork,0.150s,0.0%,115 MB
fork,0.200s,0.0%,334 MB
mem1,0.000s,0.0%,3 MB
mem1,0.050s,0.0%,102 MB
mem1,0.100s,0.0%,102 MB
mem1,0.150s,0.0%,121 MB
mem1,0.200s,0.0%,121 MB
mem1,0.250s,0.0%,140 MB
mem1,0.300s,0.0%,140 MB
mem1,0.350s,0.0%,160 MB
mem1,0.400s,0.0%,160 MB
mem1,0.450s,0.0%,179 MB
mem1,0.500s,0.0%,179 MB
mem1,0.550s,0.0%,198 MB
mem1,0.600s,0.0%,198 MB
mem1,0.650s,14.8%,198 MB
mem1,0.700s,100.0%,198 MB
mem1,0.750s,64.0%,198 MB
mem1,0.800s,40.0%,198 MB
mem1,0.850s,35.6%,198 MB
mem1,0.900s,80.0%,198 MB
mem1,0.950s,53.3%,198 MB
mem1,1.000s,53.3%,198 MB
mem1,1.050s,53.3%,198 MB
mem1,1.100s,40.0%,198 MB
mem1,1.150s,53.3%,198 MB
mem1,1.200s,45.7%,198 MB
mem1,1.250s,40.0%,198 MB
mem1,1.300s,80.0%,198 MB
mem1,1.350s,53.3%,198 MB
mem1,1.400s,45.7%,198 MB
mem1,1.450s,64.0%,198 MB
mem1,1.500s,40.0%,194 MB
stats.csv,0.000s,100.0%,3 MB
rand,0.000s,0.0%,3 MB
rand,0.050s,51.2%,7 MB
rand,0.100s,100.0%,7 MB
rand,0.150s,53.3%,7 MB
rand,0.200s,40.0%,7 MB
rand,0.250s,80.0%,7 MB
rand,0.300s,35.6%,7 MB
rand,0.350s,100.0%,7 MB
rand,0.400s,53.3%,7 MB
rand,0.450s,45.7%,7 MB
rand,0.500s,24.6%,7 MB
rand,0.550s,100.0%,7 MB
rand,0.600s,64.0%,7 MB
rand,0.650s,53.3%,7 MB
rand,0.700s,45.7%,7 MB
rand,0.750s,53.3%,7 MB
rand,0.800s,53.3%,7 MB
rand,0.850s,53.3%,7 MB
rand,0.900s,40.0%,7 MB
rand,0.950s,53.3%,7 MB
rand,1.000s,64.0%,7 MB
rand,1.050s,29.1%,7 MB
rand,1.100s,100.0%,7 MB
rand,1.150s,53.3%,7 MB
rand,1.200s,35.6%,7 MB
rand,1.250s,100.0%,7 MB
rand,1.300s,45.7%,7 MB
rand,1.350s,53.3%,7 MB
rand,1.400s,45.7%,7 MB
rand,1.450s,64.0%,7 MB
rand,1.500s,26.7%,3 MB
sleep2.sh,0.000s,100.0%,3 MB
sleep2.sh,0.050s,0.0%,13 MB
sleep2.sh,0.100s,0.0%,13 MB
sleep2.sh,0.150s,0.0%,13 MB
sleep2.sh,0.200s,0.0%,13 MB
sleep2.sh,0.250s,0.0%,13 MB
sleep2.sh,0.300s,0.0%,13 MB
sleep2.sh,0.350s,0.0%,13 MB
sleep2.sh,0.400s,0.0%,13 MB
sleep2.sh,0.450s,0.0%,13 MB
sleep2.sh,0.500s,0.0%,13 MB
sleep2.sh,0.550s,0.0%,13 MB
sleep2.sh,0.600s,0.0%,13 MB
sleep2.sh,0.650s,0.0%,13 MB
sleep2.sh,0.700s,0.0%,13 MB
sleep2.sh,0.750s,0.0%,13 MB
sleep2.sh,0.800s,0.0%,13 MB
sleep2.sh,0.850s,0.0%,13 MB
sleep2.sh,0.900s,0.0%,13 MB
sleep2.sh,0.950s,0.0%,13 MB
sleep2.sh,1.000s,0.0%,13 MB
sleep2.sh,1.050s,0.0%,13 MB
sleep2.sh,1.100s,0.0%,13 MB
sleep2.sh,1.150s,0.0%,13 MB
sleep2.sh,1.200s,0.0%,13 MB
sleep2.sh,1.250s,0.0%,13 MB
sleep2.sh,1.300s,0.0%,13 MB
sleep2.sh,1.350s,0.0%,13 MB
sleep2.sh,1.400s,0.0%,13 MB
sleep2.sh,1.450s,0.0%,13 MB
sleep2.sh,1.500s,0.0%,10 MB
sleep1.sh,0.000s,0.0%,3 MB
sleep1.sh,0.050s,0.0%,13 MB
sleep1.sh,0.100s,0.0%,13 MB
sleep1.sh,0.150s,0.0%,13 MB
sleep1.sh,0.200s,0.0%,13 MB
sleep1.sh,0.250s,0.0%,13 MB
sleep1.sh,0.300s,0.0%,13 MB
sleep1.sh,0.350s,0.0%,13 MB
sleep1.sh,0.400s,0.0%,13 MB
sleep1.sh,0.450s,0.0%,13 MB
sleep1.sh,0.500s,0.0%,13 MB
sleep1.sh,0.550s,0.0%,13 MB
sleep1.sh,0.600s,0.0%,13 MB
sleep1.sh,0.650s,0.0%,13 MB
sleep1.sh,0.700s,0.0%,13 MB
sleep1.sh,0.750s,0.0%,13 MB
sleep1.sh,0.800s,0.0%,13 MB
sleep1.sh,0.850s,0.0%,13 MB
sleep1.sh,0.900s,0.0%,13 MB
sleep1.sh,0.950s,0.0%,13 MB
sleep1.sh,1.000s,0.0%,13 MB
mem2,0.000s,0.0%,3 MB
mem2,0.050s,0.0%,150 MB
mem2,0.100s,0.0%,150 MB
mem2,0.150s,0.0%,179 MB
mem2,0.200s,0.0%,179 MB
mem2,0.250s,0.0%,207 MB
